# 沪深300高流动性基准股票池
# 用于选股器的候选补充
# 格式: 代码|名称|备注
# 更新: 2006-05-16
# --- ETF ---
510300|沪深300ETF|宽基
510050|上证50ETF|宽基
510500|中证500ETF|宽基
588000|科创50ETF|科创
159915|创业板ETF|创业板
512100|中证1000ETF|小盘
510880|红利ETF|红利
159845|中证1000ETF|小盘
159949|创业板50ETF|创业板
512880|证券ETF|行业
# --- 消费 ---
600519|贵州茅台|白酒龙头
000858|五粮液|白酒
002304|洋河股份|白酒
000568|泸州老窖|白酒
600887|伊利股份|乳业
002714|牧原股份|猪肉
000895|双汇发展|食品
600809|山西汾酒|白酒
603288|海天味业|调味品
000333|美的集团|家电龙头
000651|格力电器|家电
002415|海康威视|安防
000002|万科A|地产龙头
001979|招商蛇口|地产
# --- 金融 ---
601318|中国平安|保险龙头
600036|招商银行|银行龙头
601166|兴业银行|银行
600016|民生银行|银行
000001|平安银行|银行
601398|工商银行|银行
601939|建设银行|银行
600030|中信证券|券商龙头
601211|国泰君安|券商
601688|华泰证券|券商
600837|海通证券|券商
601601|中国太保|保险
601628|中国人寿|保险
# --- 科技/制造 ---
000063|中兴通讯|通信
002230|科大讯飞|AI
300750|宁德时代|新能源龙头
002594|比亚迪|新能源车
300124|汇川技术|工控
002371|北方华创|半导体设备
688981|中芯国际|芯片
603986|兆易创新|芯片
600584|长电科技|封测
601012|隆基绿能|光伏
688599|天合光能|光伏
300274|阳光电源|光伏逆变器
601899|紫金矿业|有色龙头
600585|海螺水泥|建材
002460|赣锋锂业|锂矿
300059|东方财富|互联网金融
600570|恒生电子|金融科技
688111|金山办公|办公软件
002049|紫光国微|芯片
300782|卓胜微|射频芯片
# --- 医药 ---
600276|恒瑞医药|创新药龙头
300760|迈瑞医疗|医疗器械龙头
000538|云南白药|中药
600085|同仁堂|中药
300015|爱尔眼科|眼科
002007|华兰生物|生物疫苗
300122|智飞生物|疫苗
600196|复星医药|综合医药
603259|药明康德|CXO龙头
300347|泰格医药|CXO
# --- 新能源/汽车 ---
601689|拓普集团|汽车零部件
600104|上汽集团|整车
000625|长安汽车|整车
601238|广汽集团|整车
300014|亿纬锂能|锂电池
002074|国轩高科|锂电池
300450|先导智能|锂电设备
601985|中国核电|核电
600900|长江电力|水电龙头
600438|通威股份|光伏硅料
# --- 军工 ---
600760|中航沈飞|军机
600893|航发动力|航空发动机
600185|格力地产|军工
600372|中航机载|航电
002013|中航机电|机电
# --- 周期/其他 ---
600036|招商银行|银行
601088|中国神华|煤炭
600028|中国石化|石化
601857|中国石油|石油
600019|宝钢股份|钢铁
000725|京东方A|面板
002475|立讯精密|消费电子龙头
600690|海尔智家|家电
600309|万华化学|化工龙头
002601|龙佰集团|钛白粉
002352|顺丰控股|快递龙头
601111|中国国航|航空
600029|南方航空|航空
601390|中国中铁|基建
601668|中国建筑|基建
600031|三一重工|机械龙头
000338|潍柴动力|重卡
600660|福耀玻璃|汽车玻璃
600188|兖矿能源|煤炭
600160|巨化股份|氟化工
